"","date","q"
"1",1989-06-01,0.00106325071256311
"2",1989-06-02,0.000994176420331628
"3",1989-06-03,0.00111628990124085
"4",1989-06-04,0.00123346950413353
"5",1989-06-05,0.00119769888851366
"6",1989-06-06,0.00145549401487757
"7",1989-06-07,0.0145426054537344
"8",1989-06-08,0.115773447657973
"9",1989-06-09,0.0871199510769515
"10",1989-06-10,0.0707271413670168
"11",1989-06-11,0.107311846859617
"12",1989-06-12,0.110999920676977
"13",1989-06-13,0.106448418206724
"14",1989-06-14,0.106238728391021
"15",1989-06-15,0.174535934834895
"16",1989-06-16,0.137285155810062
"17",1989-06-17,0.0881930695455477
"18",1989-06-18,0.0709244964876782
"19",1989-06-19,0.0556048052463397
"20",1989-06-20,0.0473652289587277
"21",1989-06-21,0.0394586894372317
"22",1989-06-22,0.034611154285987
"23",1989-06-23,0.0312191131496197
"24",1989-06-24,0.0283697985950713
"25",1989-06-25,0.0252861248347374
"26",1989-06-26,0.0456260369578994
"27",1989-06-27,0.0306887212628423
"28",1989-06-28,0.0322552275330919
"29",1989-06-29,0.0353882400735911
"30",1989-06-30,0.0300596518157342
"31",1989-07-01,0.0401741017496292
"32",1989-07-02,0.0425546978926069
"33",1989-07-03,0.034870182881855
"34",1989-07-04,0.0288508517016834
"35",1989-07-05,0.026926639275235
"36",1989-07-06,0.024718728862836
"37",1989-07-07,0.0256561656859775
"38",1989-07-08,0.0293935782835021
"39",1989-07-09,0.0308367376033383
"40",1989-07-10,0.0324649173487946
"41",1989-07-11,0.0801755177686797
"42",1989-07-12,0.0801755177686797
"43",1989-07-13,0.179469812851429
"44",1989-07-14,0.765367827314858
"45",1989-07-15,0.779182685761153
"46",1989-07-16,1.11419300308382
"47",1989-07-17,2.15857163223368
"48",1989-07-18,3.92983384016944
"49",1989-07-19,2.6889635190111
"50",1989-07-20,1.25567195520794
"51",1989-07-21,0.852944162108339
"52",1989-07-22,0.749702764612362
"53",1989-07-23,0.629069447108102
"54",1989-07-24,1.66518383058027
"55",1989-07-25,3.58199544000378
"56",1989-07-26,1.58747525181986
"57",1989-07-27,1.21459742072029
"58",1989-07-28,0.950511599885301
"59",1989-07-29,1.90817732289458
"60",1989-07-30,3.13301254049918
"61",1989-07-31,3.21812193628439
"62",1989-08-01,2.75680434173845
"63",1989-08-02,1.99822059669632
"64",1989-08-03,1.21521415547236
"65",1989-08-04,0.803482034992584
"66",1989-08-05,0.768821541926432
"67",1989-08-06,0.579730666942761
"68",1989-08-07,0.501035312579041
"69",1989-08-08,0.469211799372396
"70",1989-08-09,0.429124040488056
"71",1989-08-10,0.401247629694639
"72",1989-08-11,0.364613585421873
"73",1989-08-12,0.366463789678073
"74",1989-08-13,0.382375546281395
